Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2025-04-16  194.015579  194.270004  200.699997  192.369995  198.360001   59732400
2025-04-17  196.722031  196.979996  198.830002  194.419998  197.199997   51334300
2025-04-21  192.907028  193.160004  193.800003  189.809998  193.270004   46742500
2025-04-22  199.478424  199.740005  201.589996  195.970001  196.119995   52976400
2025-04-23  204.332062  204.600006  208.000000  202.800003  206.000000   52929200
2025-04-24  208.097107  208.369995  208.830002  202.940002  204.889999   47311000
2025-04-25  209.005920  209.279999  209.750000  206.199997  206.369995   38222300
2025-04-28  209.864792  210.139999  211.500000  207.460007  210.000000   38743100
2025-04-29  210.933395  211.210007  212.240005  208.369995  208.690002   36827600
2025-04-30  212.221710  212.500000  213.580002  206.669998  209.300003   52286500
2025-05-01  213.040634  213.320007  214.559998  208.899994  209.080002   57365700
2025-05-02  205.081070  205.350006  206.990005  202.160004  206.089996  101010600
2025-05-05  198.629532  198.889999  204.100006  198.210007  203.100006   69018500
2025-05-06  198.250015  198.509995  200.649994  197.020004  198.210007   51216500
2025-05-07  195.992981  196.250000  199.440002  193.250000  199.169998   68536700
2025-05-08  197.231369  197.490005  200.050003  194.679993  197.720001   50478900
2025-05-09  198.270004  198.529999  200.539993  197.539993  199.000000   36453900
2025-05-12  210.789993  210.789993  211.270004  206.750000  210.970001   63775800
2025-05-13  212.929993  212.929993  213.399994  209.000000  210.429993   51909300
2025-05-14  212.330002  212.330002  213.940002  210.580002  212.429993   49325800
2025-05-15  211.449997  211.449997  212.960007  209.539993  210.949997   45029500
2025-05-16  211.259995  211.259995  212.570007  209.770004  212.360001   54737900
2025-05-19  208.779999  208.779999  209.479996  204.259995  207.910004   46140500
2025-05-20  206.860001  206.860001  208.470001  205.029999  207.669998   42496600
2025-05-21  202.089996  202.089996  207.039993  200.710007  205.169998   59211800
2025-05-22  201.360001  201.360001  202.750000  199.699997  200.710007   46742400
2025-05-23  195.270004  195.270004  197.699997  193.460007  193.669998   78432900
2025-05-27  200.210007  200.210007  200.740005  197.429993  198.300003   56288500
2025-05-28  200.419998  200.419998  202.729996  199.899994  200.589996   45339700
2025-05-29  199.949997  199.949997  203.809998  198.509995  203.580002   51396800
2025-05-30  200.850006  200.850006  201.960007  196.779999  199.369995   70753100
